,post
456,now follow the letters up with a show of force  ice raids and clean those sanctuary cities out of the illegals 
2486,white genocide accelerates is france  at least 1 in 3 newborns are nonwhite  read more 
3266,ethnic norwegians disappearing as nonwhite colonization intensifies swrm white via
2713,the gaylobby needs the opioid crisis in order to fulfill gaymarriage adoptionsthe donald is a businessman  sure
1593, canadians rejecting misogynist gay  jew  westhating islam must fearlessly expose
1511,thats a consolationto be killed by a middle class  educated jihadi rather than by
3561,then im a racist who stands with you 
4323,duhshows you that once infected with the islam virus how quickly this turns the brain to rat st
5775,Whats is gained by one dead faggot Jew
1624,cuck erickson  thats racist  youre all racists 
1294,people like you are the reason theyre put up  the white race is the only race widely  openly hated 
467,see the hypocrisy  see our last tweet  jews keep nonjews out of israel but push for nonwhites to flood gentile lands 
5857,Whats the difference between a black person and a chicken Ones free range
4768,if you dont agree with me you are a racist yah nice poiny
6252,Find yourself an Asian girl Shell be more docile
1632,he has openly advocated to kill white men  cant trust muslims 
1183, rt and i will point it out here  when u call white people   white supremacist   just cause they disagree with you  its like me calling you the   n   word  with no proof 
2383,i know its not working out and i know we need to push back  people came here for econ reasons  they can leave for econ reasons  they get
5259,youre an old communist idiot im half korean my mom came here legally fuck illegals and fuck you for race baiting an issue that hurts us
2824,   americas future    white woman raped then stoned by racist blacks in south africa
3495,how dare people of european decent want their civilisation to live on  flourish   so unreasonable 
969, will  quick question  if a black guy decapitates a white guy bc the color of his race will your headline say a    reparations   or b    we need to do more to listen the oppressed communities    
586,coming from a middle aged obese anti white that has no problem calling people of her own racial identity racist for taking a stand 
780,as long as white men allow jews into their midst and to lead them  they will continue to fail their race 
311,the harsh reality  advocating for whites  white interests  or america of founding fathers automatically makes you marginal 
3540,preserving our european identity is vital to turning america back to the country it once was 
3971,the white genocide continues  white race now a minority in three more uk towns and cities via 14w
5900,Where are Jews most found In the atmosphere
4714,imagine the memories theyll form while starving cold and violently abused last a lifetime
2482,where would the world be without white people  its a wonderful race  wpww whitepride europe heritage
1161,wow you guys put up more posters  truly a major victory for the white race
4565,congress needs to pass laws making it illegal to release illegals into the local population without notifying ice
6036,What do you call it when a black person hides from a cop at night Good use of camouflage
130,see  literally being white is racist whitegenocide
1966,creativity is the only hope for white people   white people are the best 
4444,the best medicine for perverts is to ship to isilthey will take good care of u
919,white people dont burn down cities when they demonstrate  youre thinking of blm 
4233, all to be pathetic as them especially jews
5148,this guy needs to be deported should be illegal for lawyers to represent an illegal
4184,i believe they are too lazy isnt that why we went and brought back slaves in the first place
214, what is a   racist    what is a   hate group    these are euphemisms created to prevent white selfdetermination  promote invasion 
480,the way things are going even europe wont be white  dont play stupid
4357, california taxpayers footing the bill for illegal alien drivers licenses immigration gapol ga2
3673,arent you busy making excuses for syrian rapists 
5801,Does pedo bashing require a baseball bat
3117,my friends in india sent me this  muslims slaughtering buddhist 
827,if defending white heritage is hate to jewish groups  then lets call jewish organizations hate groups
4881,no we dont want thier barbaric sharia practices inflicted on us
5011,just look at their face each one of them has a blood thirsty eye freak
6051,What part of a vegetable cant you eat The wheelchair
1578, rt google search queries for   racism   from 2004 to present  mostly white countries bombarded with antiwhite media and open borders lunacy  the rest of the world is racist af and doesnt care  
4724,your primitive ignorance is embarrassing go learn anything anywhere
6106,wanna be like hitler  but have no oven  throw a penny off a cliff 
1513,the us education system discourages critical thinking skills  hence the ignorant hate that persists against hitler  nationalsocialism 
3112,lift off  altright
6052,A Muslim man said Allah Akbar But I thought he was sneezing so I said god bless you and I was blown away by his reaction
896,this is why people have to come all the way from south china to teach africans how to mine in their own countries
2070,white men  think you are a child 
4258,the ships were sabotaged by your sorry ass governmentforeign matter into the fuel etc
4691,oy vey what is the matter with you nasty rats why cant i be part of your little goy club 
1270,it doesnt work that way  and all of history proves it diversity wipes out the white race and only the white race
2083,   no  black conservatives would never cared about race    said every white cuckservatives 
3124,only white people conquered the amerindians  founded the united states of america  take your low iq antiwhite racism away from us  period 
4459,its mexifornia land of hemp fields and socialistsvery anticitizen and proillegals
2941,the white liberals and unbelievers all over the world will be the downfall of white people
990, more proof  diversity is a codeword for ethnic cleansing of white people
4872,no place for them to go but back where they came from or they can go stay with the obamas in their mansion
4532,ya know that james craig is a neanderthal evolutionary throwback  an irrelevant jackin off jesus junkie bigoted breederlike yall
2636,instead  all white people are in obamas race database 
2075,you are so right  why r muslims commanded to kill all jews by muhammad  love 
5479,round them up send them home asap
3450, russian tv report on frances white genocide by mass immigration via jewishimmi 
36, us should have leaders this brave rt    i dont want blacks in estonia  this is a white country   via 
1338,white revolution 
4097,let all illegals move to cali and let the state fund them not the fed govt horrorwood libs will find them climbing the walls arnd mansions
4506,is all that comes from africa even its people are shyt skins
6313,Untold Murder is risible mulatto perjurer trying to convince the audience he knows something as opposed to reading from a New Scotland Yard script
613,i blame the jew for rising antisemitism  without the jew being the jew  no need to be antijew
2048,they want to remove white people from their own history  whitelivesmatter
803,expulsion from human race though
506,white vs jew  stark contrast of phenotypes
1888,white guilt is a helluva drug
3875,dr  david duke  the racial murder and rape of white women in america  read more  via
1733,you are hereby condemned for your hostile posture towards the white civil rights movement  unitetheright
1663,most muslim terrorists are white  what are they talking abt 
6044,How do you track a Cherokee Follow the tears
744, the system discriminates in favor of blacks    institutional racism   is antiwhite in america 
4972,oh i see take it back from good decent people and give it to you evil jerks got it
6151,why did they plant trees in harlem  for free public transit 
762, rural america currently lays in ruinscongress teams up to condemn them as white supremacists  cuckservativelogic 
5530,take the money away from sanctuary cities
5927,Why do Puerto Ricans hang the Puerto Rican flag in their car So they dont steal from each other
1571, how do you reconcile your view with the koran commanding   kill the infidel    
86,i stick up for white people  thats not what youre are racist and putting down other races 
2853,fuhrer is our saviour  all idiot liberals must note 
3172,white people cured polio  one of many unearned privileges of living in a white society 
4222,does the world realize that it is ok to lie under sharia
320,theresa may writes exclusively for jewish news  ill be your communitys champion via
2957,well im a black jew  thats different  israel belongs to us  not the khazars
675,the best thing for all those ideas and ideals is the survival and expansion of the white race 
1308,the    fake news media   
5302,exactly send the lice and swine flu back
1934,whitepeople are the most hated  oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel 
3544,reality  any violence outta  trump supporters a response to antifa  black bloc  antitrumpers  after last fall  trumpers said no more 
799,dont let the refugees in if australia isnt letting them we shouldnt either send them back to there country where they belong 
2852,europeans arent allowed to have an identity  if you ask nicely and apologize and give your money to black people you may be an ally 
5346,they need to take their 3rd world asses back to where they came from  take that fking allah with them
2572,adolf hitler is live again red black and white
1873,they have no rights as illegals
3316,meaning 1 white for every 30 
4588,normal people are cancer dont you know all white people are nazis that want to murder s
1550,white people have no value to the left and the white on the left hate themselves
221, best way to stop gun violence in america  disarm all black people  tcot teaparty sbpdl
5860,Whats A Jews Biggest Fear Taking a shower
2195,people who think whitelivesmatter is racist are clearly racist against white people 
3200,   white supremacist site   lmao  i guess advocating for the interests of your own tribe  people constitutes   supremacy    
755,84  of all wanted criminals in copenhagen are nonwhite  read more  via
5747,The problem is women say silly shit and the meaning of the words is irrelevant to them Words are just a medium for manipulating feels and relationships If you kill a male communist great now theres one less communist If a stupid cunt dies have you accomplished anything Mollie should have been grounded by her patriarch
5320,what does this mean it means you dont own enough ammunitionbuymore
558,according to the white house  june is lgbt pride month  im a white southern christian  can i be proud of that 
4836,dont tell our cultural overlords that though they know better
5605,remove the reasons why illegals come here and illegals will self dep
1106,same tired antiwhite rhetoricsome of our people have been so brain washed into denigrating their own race 
4462,islam has had what thirteen hundred years to show what it can do and it creates wasteland and barbarism what else
3899,ill bet victim is white 
1280,jews should pay reparations to whites for white genocide and holodomor
3334,please check out our movie thegranddeception about the muslimbrotherhood in usa 
4996,yes refujihadist is what they are being shipped in by our home land muslim director doj and wh philosophy
400,democrats in white hoods have hung white republicans from nooses before  you dont scare us 
4852,thats great let them stay in mexico and suck there country dry and lets see how long they put up with the illegal immigrants coming there
5016,good goy you serve your masters well unfortunately you cant move to their ethnostate owned by rothschild
4276,moved out in 2015 so greatful i did when i see this crap california the sewer state
6163,what s the hardest part about being a muslim  pilot school
137,speaking out against obama  rt stopislam makedclisten crusades wakeupamerica
4434,the advanced monkeys will vote for anything that kills rapes and steals
4969,and daca is the camels nose under the tent that greases the rails for dapa amnesty leading to full blown amnesty for all illegal aliens
5176,this is just a smokescreen wait till they demand that full grown refugee children be allowed in the
2165,im from the south  and im sorry but white identity  southern identity
3389,white peaple where the first at everything  we deserve love
4465,isnt the fact that cal prisons are over pop majority filledoverrun by illegal aliens kinda backwards
2574,all for show  the israeli govt must be funneling money to the rebel media 
1220,as white america is perpetually under assault  the numbers may change 
5915,I painted my computer black hoping itd run faster but now it doesnt work
3711,he is lucky white people are infinitely more disciplined than afros 
2597,disgraceful censorship of you should be going after terrorist supporters not those who oppose them  rethink or i close
6015,Yall need to chill Racism is a crime And crime is for black people
5544,or yknow just not take any side in the sectarian conflict and let them blow each other up but we can
4072,happy white genocide
4231,i agree only the best other nations use the merit based systemwe can afford illegalswe have kids who can and need jobs americans first
2563, swedens population growth 2nd highest in eu due to mass muslim migration  not birthrate
263,frightened arent you  it wont be long before whitey is walking thru the slums  hoping and preying for a white victory
6046,Today I bought a Rolex from a black guy for a bargain I would even say it was almost a steal
5204,good just take back your citizens
4822, wow  a minute ago i was irrelevant and now im making you look bad whats next zionists moved your shoes
5424,jail the lawless whimp
6176,why do nt jews like the internet  because they always got roasted by nazis
338,white people are 60  of the pop  this can only show blacks do more crime per 
3759,race war in south africa  white students attacked with rocks and bricks at western cape university by
1564,    david lane  open letter to the dead white race   
1337,white race of humanity must be saved  we are fighting to save minority white race 
171,white genocide is worldwide  not just in america  it is something we can rally around in every white nation 
1260,i dont care  i care about my people  i want total separation with other races  total apathy  is my policy  i know its so wayciss  right 
1875,this is so ridiculous  over 100 years ago   blacks sold one another to whites  it was wro
1023,but islamic cultures want to kill the jews too 
1715,we should jail all white christian american males who look like they might kill in mass shootings 
1422,blacks  13  of us population  commit 59  of murders  baltimore ferguson freddiegray baltimoreuprising
2754,what are the black lives matter rallies supposed to do to white people that support law  order 
3311,latvia  thousands hold stop white genocide rallies  read more  via
5082,send him to honduras with the other 500000 pieces of trash
5875,Africans actually have more of some things Like infant mortality
3855,another study finds races naturally separate swrm we hate other races in our white countries  via
2440,selfhating white liberals should do the world a favor and kill themselves  dont you agree 
4054,america in 2050 and beyond will look more like brazil  due to 100 million black people 
3850,a tale of the jews and the white genocide  video  via
4562,both dolezal and the genderqueer lady talk about covering themselves in filth mud the alien guy is pictured in blue goo hmmm
6123,what s with all the recent terror attacks  its ramadan  and you re not you when you re hungry 
6005,Whats a Jews favorite book Gone with the wind
154,understanding women and how the jew ruined her and white society  pls ck my latest thx 
3900,im a red white and blue nationalisteat your heart out you old scumbag  hillarysucks
1064,it are the two hangmen of the white people 
3952,some in the black lives matter movement have shown extreme hatred for whites and have pitched for separate states for blacks 
1137,was this meant to highlight white liberals ironic distaste for being anywhere near nonwhites  or was it about the horrific white birthrate 
5149,put it up his murdering rump and detonate it
829,if lauren is  new  southern  then grace before race yields the gift that white could keep on racing 
6238,Cool story babe Now make me a sandwich
3504,i wonder if every white person investigated today including potus is because he is white  in todays world being white is crime unto itself
5753,I dont care what background heritage mental illness or skin color a person has Ive got no sympathy Im actually happy when the criminals decide to off themselves saves me time and money not being wasted httpswwwmsncomenusnewsussympathyforwhi
1929, watch the   greatest story never told   and retweet and dispells the lies that contributes to white hate  
1068,its okay they can call him a black white supremacist  so it does get blamed on white people 
4456,sharia lawthat means non muslims to be inferiorso peaceful
5855,What place do black people like to be peaceful In their coffin
2622,however  apparently you cant even show me where the quran prohibits violence  and u say islam is peaceful 
2842,but they still wont arrest the wavers of hezbolla and jihad flags 
5080,immigrants are welcome to come into our country legally the illegal criminals need to be kept out secure orders
3240,afghanistan  jihad  martyrdom suicide bomber murders eight at funeral  no compassion  no quarter  no mercy  no re 
5483,if you want open boarders take down your doors and windows off your house and put a sign up says all are welcome  you take care of them
2827,amen  thats why i only support what is openly pro white  no code words  just pure white pride 
4987,muslims are putting in practice if mohammed done it then its fine
2381,i dishonor kinslayers as my ancestors always did  lefties idolizing the murderer  rapist  thug  evil again 
3293,in this day and age being white is a bad word
6035,Wanna hear my favorite oximoron Black people
4287,what kind of insane country wouldnt expel all invaders like a human body failing to combatexpel all harmful intruders
5942,Why are jews ok with holocaust jokes Because theyre used to being roasted
3563,they are sad that its not a white person  lol 
521,    new black panther negroes have started mobilization to burn white communities via   
1492,one day isis monsters will be in our midst  white liberals will serve them humus cooked for them by white feminists
1956,because lesbian jews should be telling whites how to raise their kids 
5229,illegals need to be removed from our country now without delay
2398,islam  liberalism is dividing white people  we hate each other more than ever now  divide and conquer is their tactic 
5089,get rid of them let them dream in the middle east theres plenty of space
4843,if it boils down to giving some third world sewer our tax  forget it america first
4791,diversity is a strength except on math scores apparently
5976,I think a lot but I dont say much  Anne Frank But lately shes been proven to have not said anything for almost a century
6330,How dare I suggest boys suffering needs attention too
1080,majority of american citizens want the wall  and immigration laws enforced  its been said again and again  let trump keep his promise 
6341,Seeing prostitutes is morally wrong but being one is not Why do women defend prostitutes while at the same time judging men for seeing them
776,and we see how well desegregation helped white people  now they are statistically more likely to victimized by a black 
4477,bp agent nothing done to secure border from ebola apprehensions at 30
4982,hey illegals you have no rights to our laws when you came here illegally such idiotic claims tying up courts so they can tell u same
3157,weird how they tolerate sharia  but not white nationalism  or even white refugees 
4092,jewish holocaust survivor who claimed to have escaped auschwitz admits he lied for years va
631,jews and their faking of  hate crimes   jews are always whining about the absurd notion of  hate  crimes  howe 
4938,youre the nut hugging little wigger homie the clown
2816, many arrests of muslim youth in bharat regarding sexual violence against animals  its happening
162,well  thats all allah is teaching them  kill  kill  kill and then kill some more  such a violent religion 
1122,then you pay for illegals free services too  fair enough 
6162,what s the difference between feminists and hockey players  hockey players shower after number periods 
4679,grumpy says only people with half a brain use lgbt friendly um they use it on site lol
3103,it is muslim law to kill gay pple 
3854,and you expect to garner sympathetic coverage from the jewish media if you bend over and ask
2867,hitler warn about self pride in max form white  only is kkk satanist n misguided white peace neutral
3513,it seems people are willing to sell the future of western children for a momentary feeling of misguided moral superiority 
1507,sometimes hate is good  i hate islamic jihad  lol 
3752,obviously youre projecting  nobody asks for a pure white country  but a white state would be a great start 
1998,it goes way deeper than skin  racial iq  k  r selection  evolutionary psychology  etc 
5676,ltltlt trump needs to drain your swamp do your job
4710,maggots
3934,no new deal rt  communism in america  thanks to obamas personal wish listthe end to white america
6092,why do jews get circumcised  jewish women wo nt touch anything that is nt number off 
2649,jewish mayor of st  petersburg  florida  bans  donald trump via withjewswelose
6074,Why is Mexico so bad at the Olympics Because every mexican that can run jump and climb is allready on the USA
1819,is not a white supremacist organization  theyre promoting the assertion of white identity in order to help combat the issues our country is facing as a result of antiwhite hatred and discrimination along with uncontrolled immigration
236,agree  im sick of these selfhating behavior and attitude from whites nowadays  its more common in usa  western europe 
3649,84  of all wanted criminals in copenhagen are nonwhite  more  via
1834,not he ones that want global sharia shariafree2016
6179,the young homeless girl was delighted when i asked if i could take her home  she was nt too excited when i walked off with her cardboard box 
5677,one by one our presidents goals are being achieved ridding our country of all illegal immigrants cant happen soon enough 
1111,so proud of my girls  ive always argued feminist victimhood tactics are one of the good kinds of identity politics 
6010,Whats Hitlers favorite time of the year Gas season
3552,the end game of globalization is 1 world govt  whitey stands in the way  also why the white guilt  sham
2067,white  proud  no  apologies 
1914, dont celebrate yetthey like to call some of the brown population whiteour jails here are full of   white   illegals from south of the border 
498,white christians can assimilate with white christians in a white christians culturethe fantasy that that can be extended to every race is failing before our eyes 
1800,funny how you never hear about white men raping women in black neighborhoods  i know 2 white women who 
742, thats why i tell the people calling that flag racist  hate   oh you want to see a  racist  hate  do you    
5138,if the 4a doesnt prevent customs from making warrantless searches 1a doesnt prevent a ban on muslim immigration
2249,what evidence do you have that trump is good for white people 
5990,Whats the difference between a black person and a couch The couch can support a family
1306,thats why they prefer white neighborhoods  they are escaping their own kind 
1679,racist attacks on white dutch people by mobs of muslim immigrants continue  video  va
1016,arguing with white ignorant who thinks white mass murderer can not be terrorist is just waste of time 
1724,white genocide accelerates  university removes portaits of white male professors  more 
6316,Notice there havent been any MeToo accusations made against Islamic Supremacists
4344,illegals are worse illegal no respect bleeding our country dry  stop all food stamp and the roaches will leave 
5341,thats not a woman my friend thats the spawn of satan but your correct please deport now
1416,atlantas traffic problems are due to white people escaping blacks  crime 
1373, the evil reading koran    26 different korans    is so dangerous that muslims might find out jesus is god and not jihad for momo 
928,you better get right back on that liberal plantation or you are a traitor to your race  kidding  gawd  i hate these lefties 
3059,can someone tell the black people in chicago to stop killing one another before it becomes detroit
4193,obama paid for the illegals
5174,just my opinion but britain needs to take a page from nireland and bomb all the mosques
891,these rallies are just a spectacle to make pro whites look like crackpots  seriously  you a shill  agent provocateur 
5146,it shouldnt be easy no welfare no social security to illegals
3360,the white house is the jihad terror on american soil
2561, southern nationalism has a better chance in dixie  than wn  ns does in yankeedom or pacifica 
3842, finns protest against increasing number of nonwhite invaders 
335,what truth  that you invaded a country full of white christians  sod off 
1299,rip white race  europe may well be on its last legs  germany may become banana republic without
1289,not a good time to be a old white guy
1957,biological difference between white civilization  black civilization  race is bonedeep  dna manifests differently 
639,minnesota beat vermont for the title of the most cucked state in america  theres a reason white privilege billboards  conferences are there
3213, rt   the black  white experiment has failed   race politics 
4596,damn right he will get it down to a trickle illegals are scared and have right to be cant free wheeling milking with no accountability
4257,good for poland they will continue to exist as polish and not be overtaken by 3rd world hordes
6049,Whats the difference between Batman and a black man Batman can go out at might without robin
1628,every white woman in america and other white nations needs to be able to handle a firearm  
929,you cant be pro white and pro jew  jews will hate you  but you can be pro jew and anti white and jews will adore you 
